solicitud_id,fase_protocolo,ejecutada_en,resultado,especialista_notificado,especialista_reasignado
hitl_6dd09efcff75,A_preventiva,2026-07-12 11:39:44.158961,alerta_enviada,doc_006,
hitl_6dd09efcff75,B_pool,2026-07-13 11:39:44.158961,sla_extendido_24h,,
hitl_6dd09efcff75,C_emergencia,2026-07-14 11:39:44.158961,fallback_emergencia_activado,,
hitl_5af2fdfb141a,A_preventiva,2026-07-19 11:39:44.158961,alerta_enviada,doc_010,
hitl_5af2fdfb141a,B_pool,2026-07-20 11:39:44.158961,sla_extendido_24h,,
hitl_3462ec83f02c,A_preventiva,2026-07-20 11:39:44.158961,alerta_enviada,doc_004,
hitl_cffb01485966,A_preventiva,2026-07-20 11:39:44.158961,alerta_enviada,doc_005,
hitl_8f5cdbee1934,A_preventiva,2026-07-20 11:39:44.158961,alerta_enviada,doc_004,
hitl_5af2fdfb141a,C_emergencia,2026-07-21 11:39:44.158961,fallback_emergencia_activado,,
hitl_bf6be3da5329,A_preventiva,2026-08-04 11:39:44.158961,alerta_enviada,doc_007,
hitl_ca13c1e274dd,A_preventiva,2026-08-07 11:39:44.158961,alerta_enviada,doc_001,
hitl_ca13c1e274dd,B_pool,2026-08-08 11:39:44.158961,sla_extendido_24h,,
hitl_ca13c1e274dd,C_emergencia,2026-08-09 11:39:44.158961,fallback_emergencia_activado,,
hitl_b8dfcda1a277,A_preventiva,2026-08-12 11:39:44.158961,alerta_enviada,doc_001,
hitl_2c9b69561886,A_preventiva,2026-08-16 11:39:44.158961,alerta_enviada,doc_005,
hitl_2850c6eb368c,A_preventiva,2026-08-23 11:39:44.158961,alerta_enviada,doc_001,
hitl_edd5b900943f,A_preventiva,2026-08-30 11:39:44.158961,alerta_enviada,doc_005,
hitl_edd5b900943f,B_pool,2026-08-31 11:39:44.158961,sla_extendido_24h,,
hitl_edd5b900943f,C_emergencia,2026-09-01 11:39:44.158961,fallback_emergencia_activado,,
hitl_a8023a15896e,A_preventiva,2026-09-08 11:39:44.158961,alerta_enviada,doc_008,
hitl_78ee348ed233,A_preventiva,2026-09-16 11:39:44.158961,alerta_enviada,doc_010,
hitl_cff47abd60cd,A_preventiva,2026-09-20 11:39:44.158961,alerta_enviada,doc_008,
hitl_0e9f683dd091,A_preventiva,2026-09-28 11:39:44.158961,alerta_enviada,doc_010,
hitl_0e9f683dd091,B_pool,2026-09-29 11:39:44.158961,sla_extendido_24h,,
hitl_0e9f683dd091,C_emergencia,2026-09-30 11:39:44.158961,fallback_emergencia_activado,,
hitl_4672ba5da01f,A_preventiva,2026-10-13 11:39:44.158961,alerta_enviada,doc_008,
hitl_4cae77813eb3,A_preventiva,2026-10-18 11:39:44.158961,alerta_enviada,doc_002,
hitl_f458215d249e,A_preventiva,2026-10-29 11:39:44.158961,alerta_enviada,doc_010,
hitl_9f0939d71b99,A_preventiva,2026-10-29 11:39:44.158961,alerta_enviada,doc_005,
hitl_bfa8ee67ed0a,A_preventiva,2026-11-05 11:39:44.158961,alerta_enviada,doc_004,
hitl_bfa8ee67ed0a,B_pool,2026-11-06 11:39:44.158961,sla_extendido_24h,,
hitl_bfa8ee67ed0a,C_emergencia,2026-11-07 11:39:44.158961,fallback_emergencia_activado,,
hitl_5fb869c4c91a,A_preventiva,2026-11-12 11:39:44.158961,alerta_enviada,doc_009,
hitl_5fb869c4c91a,B_pool,2026-11-13 11:39:44.158961,sla_extendido_24h,,
hitl_5fb869c4c91a,C_emergencia,2026-11-14 11:39:44.158961,fallback_emergencia_activado,,
hitl_acfe17f1c863,A_preventiva,2026-11-20 11:39:44.158961,alerta_enviada,doc_002,
hitl_acfe17f1c863,B_pool,2026-11-21 11:39:44.158961,sla_extendido_24h,,
hitl_acfe17f1c863,C_emergencia,2026-11-22 11:39:44.158961,fallback_emergencia_activado,,
hitl_8070521707bf,A_preventiva,2026-11-22 11:39:44.158961,alerta_enviada,doc_004,
hitl_bb6fbe8ffdba,A_preventiva,2026-12-02 11:39:44.158961,alerta_enviada,doc_001,
hitl_bb6fbe8ffdba,B_pool,2026-12-03 11:39:44.158961,sla_extendido_24h,,
hitl_bb6fbe8ffdba,C_emergencia,2026-12-04 11:39:44.158961,fallback_emergencia_activado,,
hitl_7cddd43ce4cc,A_preventiva,2026-12-14 11:39:44.158961,alerta_enviada,doc_002,
hitl_71bbc9d1ab2d,A_preventiva,2026-12-18 11:39:44.158961,alerta_enviada,doc_002,
hitl_71bbc9d1ab2d,B_pool,2026-12-19 11:39:44.158961,sla_extendido_24h,,
hitl_71bbc9d1ab2d,C_emergencia,2026-12-20 11:39:44.158961,fallback_emergencia_activado,,
hitl_5f8e1500384c,A_preventiva,2027-01-01 11:39:44.158961,alerta_enviada,doc_001,
hitl_bf0cea6d4b2d,A_preventiva,2027-01-11 11:39:44.158961,alerta_enviada,doc_001,
hitl_609c9bdff047,A_preventiva,2027-01-12 11:39:44.158961,alerta_enviada,doc_006,
hitl_609c9bdff047,B_pool,2027-01-13 11:39:44.158961,sla_extendido_24h,,
hitl_609c9bdff047,C_emergencia,2027-01-14 11:39:44.158961,fallback_emergencia_activado,,
hitl_2ea3a19a6149,A_preventiva,2027-01-15 11:39:44.158961,alerta_enviada,doc_006,
hitl_ea0047c70050,A_preventiva,2027-01-18 11:39:44.158961,alerta_enviada,doc_007,
hitl_428ba7270b0e,A_preventiva,2027-01-23 11:39:44.158961,alerta_enviada,doc_003,
hitl_30bc6efbecd0,A_preventiva,2027-01-26 11:39:44.158961,alerta_enviada,doc_009,
hitl_ed36dbdc3bc6,A_preventiva,2027-01-30 11:39:44.158961,alerta_enviada,doc_007,
hitl_24f50e9d2b79,A_preventiva,2027-02-03 11:39:44.158961,alerta_enviada,doc_005,
hitl_ec46d3dcf616,A_preventiva,2027-02-05 11:39:44.158961,alerta_enviada,doc_007,
hitl_2b1806093de2,A_preventiva,2027-02-06 11:39:44.158961,alerta_enviada,doc_002,
hitl_8084c4fed677,A_preventiva,2027-02-14 11:39:44.158961,alerta_enviada,doc_007,
hitl_104a27a65eb5,A_preventiva,2027-02-15 11:39:44.158961,alerta_enviada,doc_007,
hitl_c123f16b935c,A_preventiva,2027-02-19 11:39:44.158961,alerta_enviada,doc_004,
hitl_e1f48a1491d1,A_preventiva,2027-02-19 11:39:44.158961,alerta_enviada,doc_009,
hitl_286ec5424362,A_preventiva,2027-02-20 11:39:44.158961,alerta_enviada,doc_005,
hitl_374f72cb1986,A_preventiva,2027-03-06 11:39:44.158961,alerta_enviada,doc_007,
hitl_374f72cb1986,B_pool,2027-03-07 11:39:44.158961,sla_extendido_24h,,
hitl_374f72cb1986,C_emergencia,2027-03-08 11:39:44.158961,fallback_emergencia_activado,,
hitl_9403bc555a87,A_preventiva,2027-03-13 11:39:44.158961,alerta_enviada,doc_001,
hitl_9403bc555a87,B_pool,2027-03-14 11:39:44.158961,sla_extendido_24h,,
hitl_7d96183c02e9,A_preventiva,2027-03-14 11:39:44.158961,alerta_enviada,doc_009,
hitl_820bea7cadb2,A_preventiva,2027-03-14 11:39:44.158961,alerta_enviada,doc_010,
hitl_bbbb3b58a435,A_preventiva,2027-03-14 11:39:44.158961,alerta_enviada,doc_003,
hitl_9403bc555a87,C_emergencia,2027-03-15 11:39:44.158961,fallback_emergencia_activado,,
hitl_094b4cee8db7,A_preventiva,2027-03-16 11:39:44.158961,alerta_enviada,doc_004,
hitl_7bd63cdf79c0,A_preventiva,2027-03-16 11:39:44.158961,alerta_enviada,doc_004,
hitl_635eddab4bd8,A_preventiva,2027-03-25 11:39:44.158961,alerta_enviada,doc_004,
hitl_635eddab4bd8,B_pool,2027-03-26 11:39:44.158961,sla_extendido_24h,,
hitl_e81d244942eb,A_preventiva,2027-03-26 11:39:44.158961,alerta_enviada,doc_007,
hitl_8228736ecc4c,A_preventiva,2027-03-26 11:39:44.158961,alerta_enviada,doc_001,
hitl_635eddab4bd8,C_emergencia,2027-03-27 11:39:44.158961,fallback_emergencia_activado,,
hitl_e81d244942eb,B_pool,2027-03-27 11:39:44.158961,sla_extendido_24h,,
hitl_e81d244942eb,C_emergencia,2027-03-28 11:39:44.158961,fallback_emergencia_activado,,
hitl_994ed31da430,A_preventiva,2027-03-28 11:39:44.158961,alerta_enviada,doc_010,
hitl_2097c4f1b456,A_preventiva,2027-04-03 11:39:44.158961,alerta_enviada,doc_003,
hitl_8a40ad7001fc,A_preventiva,2027-04-09 11:39:44.158961,alerta_enviada,doc_009,
hitl_8a40ad7001fc,B_pool,2027-04-10 11:39:44.158961,sla_extendido_24h,,
hitl_8a40ad7001fc,C_emergencia,2027-04-11 11:39:44.158961,fallback_emergencia_activado,,
hitl_fb1e2e5d59d8,A_preventiva,2027-04-12 11:39:44.158961,alerta_enviada,doc_009,
hitl_fb1e2e5d59d8,B_pool,2027-04-13 11:39:44.158961,sla_extendido_24h,,
hitl_fb1e2e5d59d8,C_emergencia,2027-04-14 11:39:44.158961,fallback_emergencia_activado,,
hitl_613e902d3484,A_preventiva,2027-04-23 11:39:44.158961,alerta_enviada,doc_007,
hitl_613e902d3484,B_pool,2027-04-24 11:39:44.158961,sla_extendido_24h,,
hitl_613e902d3484,C_emergencia,2027-04-25 11:39:44.158961,fallback_emergencia_activado,,
hitl_c8dc990ff860,A_preventiva,2027-05-05 11:39:44.158961,alerta_enviada,doc_002,
hitl_a36e069aac26,A_preventiva,2027-05-08 11:39:44.158961,alerta_enviada,doc_006,
hitl_8640ba201d61,A_preventiva,2027-05-08 11:39:44.158961,alerta_enviada,doc_001,
hitl_a36e069aac26,B_pool,2027-05-09 11:39:44.158961,sla_extendido_24h,,
hitl_8640ba201d61,B_pool,2027-05-09 11:39:44.158961,sla_extendido_24h,,
hitl_a36e069aac26,C_emergencia,2027-05-10 11:39:44.158961,fallback_emergencia_activado,,
hitl_8640ba201d61,C_emergencia,2027-05-10 11:39:44.158961,fallback_emergencia_activado,,
hitl_fc40f83871c4,A_preventiva,2027-05-12 11:39:44.158961,alerta_enviada,doc_001,
hitl_d911babf075a,A_preventiva,2027-05-15 11:39:44.158961,alerta_enviada,doc_010,
hitl_d911babf075a,B_pool,2027-05-16 11:39:44.158961,sla_extendido_24h,,
hitl_d911babf075a,C_emergencia,2027-05-17 11:39:44.158961,fallback_emergencia_activado,,
hitl_8760d18d7d6d,A_preventiva,2027-05-20 11:39:44.158961,alerta_enviada,doc_001,
