solicitud_id,fase_protocolo,ejecutada_en,resultado,especialista_notificado,especialista_reasignado
hitl_c595a20d6522,A_preventiva,2026-07-12 11:39:33.447955,alerta_enviada,doc_006,
hitl_c595a20d6522,B_pool,2026-07-13 11:39:33.447955,sla_extendido_24h,,
hitl_c595a20d6522,C_emergencia,2026-07-14 11:39:33.447955,fallback_emergencia_activado,,
hitl_c318684a8528,A_preventiva,2026-07-19 11:39:33.447955,alerta_enviada,doc_010,
hitl_c318684a8528,B_pool,2026-07-20 11:39:33.447955,sla_extendido_24h,,
hitl_504847ee9f1f,A_preventiva,2026-07-20 11:39:33.447955,alerta_enviada,doc_004,
hitl_f608910ee2c7,A_preventiva,2026-07-20 11:39:33.447955,alerta_enviada,doc_005,
hitl_48b9940075e0,A_preventiva,2026-07-20 11:39:33.447955,alerta_enviada,doc_004,
hitl_c318684a8528,C_emergencia,2026-07-21 11:39:33.447955,fallback_emergencia_activado,,
hitl_1325f0908279,A_preventiva,2026-08-04 11:39:33.447955,alerta_enviada,doc_007,
hitl_fe7306f4c59e,A_preventiva,2026-08-07 11:39:33.447955,alerta_enviada,doc_001,
hitl_fe7306f4c59e,B_pool,2026-08-08 11:39:33.447955,sla_extendido_24h,,
hitl_fe7306f4c59e,C_emergencia,2026-08-09 11:39:33.447955,fallback_emergencia_activado,,
hitl_3661d963dcf1,A_preventiva,2026-08-12 11:39:33.447955,alerta_enviada,doc_001,
hitl_0c3fd088af46,A_preventiva,2026-08-16 11:39:33.447955,alerta_enviada,doc_005,
hitl_cbe3628cad81,A_preventiva,2026-08-23 11:39:33.447955,alerta_enviada,doc_001,
hitl_1fde5766053a,A_preventiva,2026-08-30 11:39:33.447955,alerta_enviada,doc_005,
hitl_1fde5766053a,B_pool,2026-08-31 11:39:33.447955,sla_extendido_24h,,
hitl_1fde5766053a,C_emergencia,2026-09-01 11:39:33.447955,fallback_emergencia_activado,,
hitl_bc013055b78a,A_preventiva,2026-09-08 11:39:33.447955,alerta_enviada,doc_008,
hitl_d2c16aa8f843,A_preventiva,2026-09-16 11:39:33.447955,alerta_enviada,doc_010,
hitl_9000df02c620,A_preventiva,2026-09-20 11:39:33.447955,alerta_enviada,doc_008,
hitl_1df653fad340,A_preventiva,2026-09-28 11:39:33.447955,alerta_enviada,doc_010,
hitl_1df653fad340,B_pool,2026-09-29 11:39:33.447955,sla_extendido_24h,,
hitl_1df653fad340,C_emergencia,2026-09-30 11:39:33.447955,fallback_emergencia_activado,,
hitl_9c0090d616d4,A_preventiva,2026-10-13 11:39:33.447955,alerta_enviada,doc_008,
hitl_a10c3e8bfb26,A_preventiva,2026-10-18 11:39:33.447955,alerta_enviada,doc_002,
hitl_cc48fa4c16cf,A_preventiva,2026-10-29 11:39:33.447955,alerta_enviada,doc_010,
hitl_a9fd531cf51b,A_preventiva,2026-10-29 11:39:33.447955,alerta_enviada,doc_005,
hitl_8b41aab900e7,A_preventiva,2026-11-05 11:39:33.447955,alerta_enviada,doc_004,
hitl_8b41aab900e7,B_pool,2026-11-06 11:39:33.447955,sla_extendido_24h,,
hitl_8b41aab900e7,C_emergencia,2026-11-07 11:39:33.447955,fallback_emergencia_activado,,
hitl_3fa4cb4d481a,A_preventiva,2026-11-12 11:39:33.447955,alerta_enviada,doc_009,
hitl_3fa4cb4d481a,B_pool,2026-11-13 11:39:33.447955,sla_extendido_24h,,
hitl_3fa4cb4d481a,C_emergencia,2026-11-14 11:39:33.447955,fallback_emergencia_activado,,
hitl_6e9734dac3ac,A_preventiva,2026-11-20 11:39:33.447955,alerta_enviada,doc_002,
hitl_6e9734dac3ac,B_pool,2026-11-21 11:39:33.447955,sla_extendido_24h,,
hitl_6e9734dac3ac,C_emergencia,2026-11-22 11:39:33.447955,fallback_emergencia_activado,,
hitl_ce0b50c5313c,A_preventiva,2026-11-22 11:39:33.447955,alerta_enviada,doc_004,
hitl_007f298766ab,A_preventiva,2026-12-02 11:39:33.447955,alerta_enviada,doc_001,
hitl_007f298766ab,B_pool,2026-12-03 11:39:33.447955,sla_extendido_24h,,
hitl_007f298766ab,C_emergencia,2026-12-04 11:39:33.447955,fallback_emergencia_activado,,
hitl_f7c0480770e7,A_preventiva,2026-12-14 11:39:33.447955,alerta_enviada,doc_002,
hitl_9de5d0d2bd97,A_preventiva,2026-12-18 11:39:33.447955,alerta_enviada,doc_002,
hitl_9de5d0d2bd97,B_pool,2026-12-19 11:39:33.447955,sla_extendido_24h,,
hitl_9de5d0d2bd97,C_emergencia,2026-12-20 11:39:33.447955,fallback_emergencia_activado,,
hitl_456a7e054053,A_preventiva,2027-01-01 11:39:33.447955,alerta_enviada,doc_001,
hitl_902c6dcb3bc5,A_preventiva,2027-01-11 11:39:33.447955,alerta_enviada,doc_001,
hitl_74fc979ec5c4,A_preventiva,2027-01-12 11:39:33.447955,alerta_enviada,doc_006,
hitl_74fc979ec5c4,B_pool,2027-01-13 11:39:33.447955,sla_extendido_24h,,
hitl_74fc979ec5c4,C_emergencia,2027-01-14 11:39:33.447955,fallback_emergencia_activado,,
hitl_2a498ff207d5,A_preventiva,2027-01-15 11:39:33.447955,alerta_enviada,doc_006,
hitl_d59aba64599a,A_preventiva,2027-01-18 11:39:33.447955,alerta_enviada,doc_007,
hitl_68b5837f7bff,A_preventiva,2027-01-23 11:39:33.447955,alerta_enviada,doc_003,
hitl_7555184585fb,A_preventiva,2027-01-26 11:39:33.447955,alerta_enviada,doc_009,
hitl_f4384c1e3fa8,A_preventiva,2027-01-30 11:39:33.447955,alerta_enviada,doc_007,
hitl_5265df6a5067,A_preventiva,2027-02-03 11:39:33.447955,alerta_enviada,doc_005,
hitl_f70948e6f557,A_preventiva,2027-02-05 11:39:33.447955,alerta_enviada,doc_007,
hitl_2df8f78b5ae8,A_preventiva,2027-02-06 11:39:33.447955,alerta_enviada,doc_002,
hitl_b9a6865292dc,A_preventiva,2027-02-14 11:39:33.447955,alerta_enviada,doc_007,
hitl_8edca80772bd,A_preventiva,2027-02-15 11:39:33.447955,alerta_enviada,doc_007,
hitl_4e6bf5f3b64e,A_preventiva,2027-02-19 11:39:33.447955,alerta_enviada,doc_004,
hitl_648e48b1db45,A_preventiva,2027-02-19 11:39:33.447955,alerta_enviada,doc_009,
hitl_540edf6e448b,A_preventiva,2027-02-20 11:39:33.447955,alerta_enviada,doc_005,
hitl_384abd364cba,A_preventiva,2027-03-06 11:39:33.447955,alerta_enviada,doc_007,
hitl_384abd364cba,B_pool,2027-03-07 11:39:33.447955,sla_extendido_24h,,
hitl_384abd364cba,C_emergencia,2027-03-08 11:39:33.447955,fallback_emergencia_activado,,
hitl_54ff72026903,A_preventiva,2027-03-13 11:39:33.447955,alerta_enviada,doc_001,
hitl_54ff72026903,B_pool,2027-03-14 11:39:33.447955,sla_extendido_24h,,
hitl_1710bb22bf45,A_preventiva,2027-03-14 11:39:33.447955,alerta_enviada,doc_009,
hitl_723fc98a89ae,A_preventiva,2027-03-14 11:39:33.447955,alerta_enviada,doc_010,
hitl_5830240a7905,A_preventiva,2027-03-14 11:39:33.447955,alerta_enviada,doc_003,
hitl_54ff72026903,C_emergencia,2027-03-15 11:39:33.447955,fallback_emergencia_activado,,
hitl_208e7fe933a2,A_preventiva,2027-03-16 11:39:33.447955,alerta_enviada,doc_004,
hitl_a0853a52db6a,A_preventiva,2027-03-16 11:39:33.447955,alerta_enviada,doc_004,
hitl_4efe31cbb2b8,A_preventiva,2027-03-25 11:39:33.447955,alerta_enviada,doc_004,
hitl_4efe31cbb2b8,B_pool,2027-03-26 11:39:33.447955,sla_extendido_24h,,
hitl_8422e9625505,A_preventiva,2027-03-26 11:39:33.447955,alerta_enviada,doc_007,
hitl_7c0f75b225c5,A_preventiva,2027-03-26 11:39:33.447955,alerta_enviada,doc_001,
hitl_4efe31cbb2b8,C_emergencia,2027-03-27 11:39:33.447955,fallback_emergencia_activado,,
hitl_8422e9625505,B_pool,2027-03-27 11:39:33.447955,sla_extendido_24h,,
hitl_8422e9625505,C_emergencia,2027-03-28 11:39:33.447955,fallback_emergencia_activado,,
hitl_6175e76b4e8d,A_preventiva,2027-03-28 11:39:33.447955,alerta_enviada,doc_010,
hitl_d8d9888b8b9f,A_preventiva,2027-04-03 11:39:33.447955,alerta_enviada,doc_003,
hitl_0b9cf1876a7f,A_preventiva,2027-04-09 11:39:33.447955,alerta_enviada,doc_009,
hitl_0b9cf1876a7f,B_pool,2027-04-10 11:39:33.447955,sla_extendido_24h,,
