solicitud_id,fase_protocolo,ejecutada_en,resultado,especialista_notificado,especialista_reasignado
hitl_5354acf45e59,A_preventiva,2026-07-06 11:40:52.205441,alerta_enviada,doc_001,
hitl_5e66cb30a21f,A_preventiva,2026-07-06 11:40:52.205441,alerta_enviada,doc_006,
hitl_5e66cb30a21f,B_pool,2026-07-07 11:40:52.205441,sla_extendido_24h,,
hitl_55cbae088c70,A_preventiva,2026-07-07 11:40:52.205441,alerta_enviada,doc_007,
hitl_5e66cb30a21f,C_emergencia,2026-07-08 11:40:52.205441,fallback_emergencia_activado,,
hitl_8e90e44dd6e2,A_preventiva,2026-07-08 11:40:52.205441,alerta_enviada,doc_007,
hitl_8e90e44dd6e2,B_pool,2026-07-09 11:40:52.205441,sla_extendido_24h,,
hitl_8e90e44dd6e2,C_emergencia,2026-07-10 11:40:52.205441,fallback_emergencia_activado,,
hitl_3c754ff4e9fe,A_preventiva,2026-07-10 11:40:52.205441,alerta_enviada,doc_010,
hitl_27595449ccae,A_preventiva,2026-07-10 11:40:52.205441,alerta_enviada,doc_005,
hitl_3c754ff4e9fe,B_pool,2026-07-11 11:40:52.205441,sla_extendido_24h,,
hitl_3c754ff4e9fe,C_emergencia,2026-07-12 11:40:52.205441,fallback_emergencia_activado,,
hitl_bd6cf10ad58e,A_preventiva,2026-07-20 11:40:52.205441,alerta_enviada,doc_005,
hitl_bd6cf10ad58e,B_pool,2026-07-21 11:40:52.205441,sla_extendido_24h,,
hitl_bd6cf10ad58e,C_emergencia,2026-07-22 11:40:52.205441,fallback_emergencia_activado,,
hitl_e0556b3f0dc4,A_preventiva,2026-07-29 11:40:52.205441,alerta_enviada,doc_008,
hitl_e0556b3f0dc4,B_pool,2026-07-30 11:40:52.205441,sla_extendido_24h,,
hitl_21b10149a3b9,A_preventiva,2026-07-30 11:40:52.205441,alerta_enviada,doc_009,
hitl_e0556b3f0dc4,C_emergencia,2026-07-31 11:40:52.205441,fallback_emergencia_activado,,
hitl_a7ed2c460705,A_preventiva,2026-08-10 11:40:52.205441,alerta_enviada,doc_010,
hitl_a7ed2c460705,B_pool,2026-08-11 11:40:52.205441,sla_extendido_24h,,
hitl_a7ed2c460705,C_emergencia,2026-08-12 11:40:52.205441,fallback_emergencia_activado,,
hitl_1f7bfd9954be,A_preventiva,2026-08-20 11:40:52.205441,alerta_enviada,doc_003,
hitl_1f7bfd9954be,B_pool,2026-08-21 11:40:52.205441,sla_extendido_24h,,
hitl_4941fc2b69d0,A_preventiva,2026-08-21 11:40:52.205441,alerta_enviada,doc_002,
hitl_1f7bfd9954be,C_emergencia,2026-08-22 11:40:52.205441,fallback_emergencia_activado,,
hitl_4941fc2b69d0,B_pool,2026-08-22 11:40:52.205441,sla_extendido_24h,,
hitl_4941fc2b69d0,C_emergencia,2026-08-23 11:40:52.205441,fallback_emergencia_activado,,
hitl_0702e1a94697,A_preventiva,2026-08-23 11:40:52.205441,alerta_enviada,doc_002,
hitl_0702e1a94697,B_pool,2026-08-24 11:40:52.205441,sla_extendido_24h,,
hitl_0702e1a94697,C_emergencia,2026-08-25 11:40:52.205441,fallback_emergencia_activado,,
hitl_709538f7ea0f,A_preventiva,2026-09-08 11:40:52.205441,alerta_enviada,doc_006,
hitl_709538f7ea0f,B_pool,2026-09-09 11:40:52.205441,sla_extendido_24h,,
hitl_709538f7ea0f,C_emergencia,2026-09-10 11:40:52.205441,fallback_emergencia_activado,,
hitl_20887cbc094a,A_preventiva,2026-10-03 11:40:52.205441,alerta_enviada,doc_006,
